Control	caRANKvil-Tg
455	455
638	638
834	834
706	706
673	673
867	867
768	768
553	553
730	730
839	839
961	961
621	621
964	964
804	804
703	703
537	537
661	661
889	889
771	771
903	903
305	305
631	631
626	626
565	565
908	908
520	520
540	540
907	907
781	781
424	424
839	839
583	583
806	806
574	574
625	625
574	574
582	582
717	717
825	825
825	825
739	739
604	604
815	815
796	796
723	723
499	499
697	697
443	443
682	682
494	494
551	551
635	635
647	647
861	861
582	582
558	558
603	603
762	762
995	995
626	626
704	704
512	512
778	778
518	518
802	802
949	949
1056	1056
509	509
921	921
518	518
647	647
679	679
592	592
473	473
863	863
635	635
655	655
856	856
776	776
669	669
290	290
522	522
765	765
419	419
661	661
700	700
624	624
553	553
886	886
701	701
701	701
709	709
943	943
390	390
541	541
755	755
534	534
460	460
771	771
721	721
459	459
816	816
588	588
600	600
770	770
829	995
400	895
807	896
819	572
584	984
709	682
582	677
773	825
856	716
621	979
633	728
696	689
840	662
605	721
670	634
800	985
483	879
663	735
861	635
800	680
764	904
	1005
	920
	819
	837
	633
	931
	1033
	1003
	932
	936
	465
	723
	879
	770
	634
	804
	675
	663
	993
