Control	caRANKvil-Tg
1.53955154	2.19339456
1.76301222	2.8279608
1.97653945	2.98776647
2.49281535	2.84702804
1.90828348	3.25649558
2.65870991	3.3251159
2.21860508	2.8745397
1.77012328	2.56055586
2.22663749	2.53623392
1.9337625	2.18136346
3.32692288	2.18933244
1.76602467	2.4279982
2.73702151	1.77689228
2.2992398	1.77904562
1.88438826	1.63519748
1.27162092	2.04382809
1.95582201	1.85084692
2.03636863	2.59124925
2.09705111	2.73946268
2.4669754	2.18142443
0.86351288	2.39905647
1.6330101	1.99718551
1.67988495	1.91377314
1.55614638	1.85762812
2.79566278	2.50738379
1.53334468	3.06569498
1.40532979	2.38294866
2.4549011	2.3052948
2.16731944	2.43361207
1.18733187	1.57241107
2.0067324	2.5056633
1.4365423	2.57818107
1.95372891	2.81475108
1.88109892	2.48621699
1.69888575	2.72798215
1.89087818	2.09368655
1.80667439	2.0625395
2.05751273	1.92900492
2.23482171	3.23456343
2.17948644	2.28576261
2.0571211	1.78465667
1.6994049	2.60587504
1.68450699	2.70030226
1.79335019	2.36921739
2.03478392	2.04290187
1.23773237	2.34492582
1.51684411	2.3210124
1.10048274	2.69791164
1.81182228	2.18458406
1.30192613	2.69300395
1.51266689	2.83754184
1.93627048	1.9613633
1.83701446	2.65965092
2.15456591	1.96184902
1.36749311	2.36684562
1.48475555	2.33884129
1.93955464	2.29418293
2.0647343	1.96970182
2.79855363	2.64270856
1.81461283	2.46788328
1.84603455	2.61195907
1.29445711	2.5597676
1.9879332	1.83348562
1.28972661	2.79693616
2.37569923	2.59132103
2.40532647	2.7307333
3.20097764	2.00531585
1.48093472	2.51283178
3.01148593	2.29502231
1.68356015	2.32576751
2.04732985	1.36125881
1.73739556	2.47755285
1.74820008	2.23261092
1.12811886	1.68011732
2.50431283	1.92103216
1.58679733	2.42075307
1.82546905	3.28083538
2.41002367	4.50509452
2.20844769	2.06923193
1.83166353	2.32862967
0.86328472	3.66001542
1.51284862	2.81422457
2.25189466	3.16799529
1.26648879	2.42319808
1.97535665	2.79887551
1.95184366	2.58704275
1.71033054	2.14745864
1.38220442	3.00386418
2.60940769	3.4704204
2.04630525	2.86144101
1.85502488	1.84233013
2.10274648	3.06041666
2.36810231	2.30375026
1.4185485	2.56902045
1.48998349	2.50921381
2.9267416	2.88400014
2.5064845	2.82722317
1.1735582	2.60438399
3.099973	2.3887089
2.1248336	1.64735933
1.4321563	1.88135313
2.8647812	2.416551
2.0598344	1.87493636
2.3378002	1.91860321
3.1864673	1.67502875
2.938207	3.5158825
1.3267427	3.3212523
2.4508225	3.1494371
2.8031486	1.773886
2.0341578	2.9507205
3.3123046	2.7311193
2.1400318	2.7169655
2.526181	2.7180433
4.8386379	2.6336546
1.8206181	2.7396676
2.2017521	2.6782038
2.8717755	2.556959
3.4039902	1.8197659
2.2893818	2.8343755
2.162172	2.6602831
3.0409604	3.7121808
1.6860993	2.7885059
2.0517896	2.3829922
4.0672618	2.4317065
3.3404709	2.5518221
2.2928613	3.6876566
	3.7453187
	3.6790985
	2.5802129
	2.3134332
	2.1000281
	3.6368929
	3.1607513
	3.4861529
	2.7513788
	3.7789994
	1.4858728
	2.6936069
	3.1211696
	2.765687
	2.3003258
	2.664066
	2.4810432
	2.6309729
	3.524998
