Control	caRANKvil-Tg
2.787939	3.806608
3.915646	5.66996
3.356636	6.286536
5.512055	5.14586
3.90477	6.207454
5.155514	6.072621
4.848342	5.330509
3.215453	4.519425
4.410064	4.773052
3.358155	3.82473
7.009566	4.778744
3.483477	5.789076
5.093608	3.949666
4.614034	4.318454
3.254837	3.137895
2.61964	4.354525
3.100561	3.462434
3.989423	5.935562
3.872267	5.820242
4.590638	4.795002
1.590417	5.87177
3.101934	4.290845
2.400704	3.980316
2.805851	3.63802
4.555584	5.536616
2.990455	6.593407
2.245638	5.069073
3.867814	4.730286
4.023702	4.731788
2.064575	3.467379
3.711221	4.718959
2.656871	5.440501
3.226727	5.555778
3.620709	5.036474
3.164638	5.274481
3.102958	4.342493
3.432967	4.668145
3.678283	3.502644
3.753977	6.995454
3.580738	4.717066
3.940178	3.793475
3.643822	5.272854
2.917371	5.507947
2.777364	4.231789
4.005759	3.799601
2.114075	4.802359
2.504712	4.760894
2.093647	5.322249
3.224074	4.841982
2.488069	5.297124
2.387564	5.762337
3.281031	4.084765
3.297031	4.778364
4.354111	3.684052
2.225545	5.080967
2.671114	4.680721
3.577371	4.581142
4.213361	3.265442
5.19092	4.389167
3.114208	4.512666
3.576403	4.476846
2.475706	4.754282
3.64164	3.337289
2.619056	6.823643
4.491159	4.823982
4.390587	5.439884
5.326057	3.571834
2.694952	4.410318
5.962987	4.569786
3.011206	3.928311
3.665837	2.346444
3.266219	4.614304
3.199239	3.981542
1.997861	3.242733
4.447458	3.63831
2.512965	4.5354
3.161362	6.686669
4.505736	9.987858
4.219689	3.412776
3.158675	3.997536
1.519895	7.451636
2.938712	5.670606
4.02039	6.863802
2.203863	4.505351
3.462326	5.9256
3.401594	4.706375
3.185324	4.579851
2.409104	6.170889
4.480923	7.378472
3.359935	5.641992
3.42417	3.687699
3.099825	5.790094
3.690428	4.425653
2.565153	4.688528
2.671094	4.311929
5.15716572	5.865271
5.13831546	6.092646
1.74801676	5.80131
5.66031788	5.0477
3.78825216	3.55734
2.64794424	3.476385
5.21852832	3.833839
3.38182668	3.583962
4.33915873	4.328871
5.79986799	2.988864
5.63977984	6.73255376
2.15861869	6.96100435
4.02808323	6.24943196
5.02867556	3.88416894
3.74708342	6.11881134
5.766177	5.98021944
3.62316058	4.69614907
4.50850534	5.30425343
8.62426989	5.18832614
3.05950217	5.12829697
3.33655753	5.93930548
5.17228533	5.04674666
6.13044036	3.61900154
3.93051545	6.48143856
3.86439056	5.331029
5.53352735	7.44728227
3.06370951	5.48499831
3.74443152	4.30956377
7.62661219	5.01832008
5.71129598	5.04227057
3.59107874	7.33469518
	7.18411061
	7.77795076
	5.59433909
	4.18329093
	3.88829773
	8.4547517
	6.40843484
	7.4285535
	5.36211927
	7.50648934
	2.78049216
	6.28839209
	7.0624317
	6.07151334
	4.85094194
	5.04587745
	5.3048962
	5.56327986
	7.46981365
